Type	Price	Timestamp	InstanceType	ProductDescription	AvailabilityZone
SPOTINSTANCEPRICE	0.011200	2016-09-12T19:48:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:47:29+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011200	2016-09-12T19:47:01+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:45:25+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011200	2016-09-12T19:42:58+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:42:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:40:09+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:39:45+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:39:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:37:45+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:37:21+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:33:42+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:31:42+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011100	2016-09-12T19:30:32+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:26:51+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:24:50+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:23:40+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:22:00+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.011000	2016-09-12T19:18:46+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:10:17+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T19:09:56+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:09:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T19:06:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:05:27+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T19:03:00+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:02:38+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T19:02:14+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010900	2016-09-12T19:01:00+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T19:00:35+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010700	2016-09-12T18:56:32+0800	m3.medium	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.010800	2016-09-12T18:47:13+0800	m3.medium	Linux/UNIX	us-east-1a
