Type	Price	Timestamp	InstanceType	ProductDescription	AvailabilityZone
SPOTINSTANCEPRICE	0.032700	2016-07-21T08:04:20+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033900	2016-07-21T08:02:10+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T08:01:37+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T08:01:04+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034800	2016-07-21T08:00:32+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:57:49+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033300	2016-07-21T07:56:43+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033100	2016-07-21T07:56:12+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033300	2016-07-21T07:55:39+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033400	2016-07-21T07:55:06+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033300	2016-07-21T07:51:19+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033400	2016-07-21T07:49:40+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033900	2016-07-21T07:49:08+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:48:35+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034500	2016-07-21T07:48:02+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:46:58+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034700	2016-07-21T07:45:53+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:45:19+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034200	2016-07-21T07:40:26+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034300	2016-07-21T07:39:53+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035800	2016-07-21T07:38:16+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035400	2016-07-21T07:37:47+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034900	2016-07-21T07:37:12+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034500	2016-07-21T07:36:42+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033700	2016-07-21T07:36:05+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034000	2016-07-21T07:35:33+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033700	2016-07-21T07:33:54+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033800	2016-07-21T07:33:24+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033900	2016-07-21T07:32:50+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033800	2016-07-21T07:32:16+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033600	2016-07-21T07:31:46+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:31:13+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034200	2016-07-21T07:30:40+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033700	2016-07-21T07:30:06+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033500	2016-07-21T07:29:34+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.033200	2016-07-21T07:27:56+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034000	2016-07-21T07:27:23+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:26:19+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034300	2016-07-21T07:25:46+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:25:13+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034300	2016-07-21T07:23:36+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:23:04+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:20:53+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034500	2016-07-21T07:20:22+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:19:48+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034500	2016-07-21T07:18:43+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:18:11+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:17:06+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034300	2016-07-21T07:16:33+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034200	2016-07-21T07:16:00+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:12:45+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034000	2016-07-21T07:12:13+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:11:40+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034000	2016-07-21T07:10:02+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:09:29+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034000	2016-07-21T07:08:59+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034100	2016-07-21T07:08:25+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034200	2016-07-21T07:07:20+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034300	2016-07-21T07:06:48+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034400	2016-07-21T07:06:14+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034500	2016-07-21T07:05:42+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:04:37+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034700	2016-07-21T07:04:04+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034600	2016-07-21T07:03:32+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.034700	2016-07-21T07:02:31+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035100	2016-07-21T07:00:50+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035600	2016-07-21T06:59:43+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035500	2016-07-21T06:59:11+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035600	2016-07-21T06:58:38+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035500	2016-07-21T06:58:06+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035700	2016-07-21T06:57:33+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035800	2016-07-21T06:56:28+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035400	2016-07-21T06:55:26+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.035300	2016-07-21T06:54:18+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.037000	2016-07-21T06:52:08+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.037100	2016-07-21T06:51:36+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.038500	2016-07-21T06:49:58+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.038400	2016-07-21T06:46:42+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.038900	2016-07-21T06:46:09+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039300	2016-07-21T06:45:36+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039600	2016-07-21T06:45:04+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039800	2016-07-21T06:42:58+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039500	2016-07-21T06:41:50+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039600	2016-07-21T06:40:44+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.039800	2016-07-21T06:39:38+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.037900	2016-07-21T06:39:06+0800	r3.large	Linux/UNIX	us-east-1a
SPOTINSTANCEPRICE	0.038100	2016-07-21T06:38:35+0800	r3.large	Linux/UNIX	us-east-1a
