Type	Price	Timestamp	InstanceType	ProductDescription	AvailabilityZone
SPOTINSTANCEPRICE	1.750000	2016-07-20T19:13:18+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.200000	2016-07-20T19:12:42+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.175000	2016-07-20T19:11:37+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.166000	2016-07-20T19:11:04+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	1.750000	2016-07-20T19:08:23+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.200000	2016-07-20T19:07:50+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.166000	2016-07-20T19:06:12+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.136900	2016-07-20T19:05:38+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.166000	2016-07-20T19:05:07+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.136900	2016-07-20T19:04:33+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.133000	2016-07-20T19:04:01+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.104700	2016-07-20T19:03:30+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.118500	2016-07-20T19:03:01+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.133000	2016-07-20T19:02:23+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.120000	2016-07-20T19:01:51+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.100000	2016-07-20T13:49:43+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.091400	2016-07-20T13:49:12+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.094300	2016-07-20T13:48:40+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.097400	2016-07-20T13:46:27+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.100000	2016-07-20T12:08:46+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.097100	2016-07-20T12:08:14+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.100000	2016-07-20T12:07:40+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.097100	2016-07-20T12:07:09+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.100000	2016-07-20T12:06:02+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.097300	2016-07-20T12:05:30+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.100000	2016-07-20T12:03:55+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.082400	2016-07-20T12:03:18+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.078800	2016-07-20T12:02:15+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.061500	2016-07-20T12:01:08+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.062300	2016-07-20T12:00:36+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.061500	2016-07-20T12:00:07+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.064000	2016-07-20T11:59:30+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.065000	2016-07-20T11:58:25+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.069100	2016-07-20T11:57:53+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.072800	2016-07-20T11:57:20+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.075800	2016-07-20T11:56:48+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.071700	2016-07-20T11:56:15+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.077300	2016-07-20T11:55:43+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.079000	2016-07-20T11:55:14+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.077300	2016-07-20T11:53:32+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.075600	2016-07-20T11:53:00+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.077200	2016-07-20T11:51:22+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.077300	2016-07-20T11:50:16+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.081000	2016-07-20T11:49:43+0800	r3.large	Linux/UNIX	us-east-1d
SPOTINSTANCEPRICE	0.082900	2016-07-20T11:49:11+0800	r3.large	Linux/UNIX	us-east-1d
